,Id,review,token_review,token_review_lemm
11,11,I bought  HP Deskjet printer 3760  June 2022 still  warranty  recently  cartridge problems   HP agreed  replace  I   lengthy conversation  someone called Ahmed  HP Customer Care  insisted  inserting  incorrect flat number despite  insisting    wrong number My mobile number  also displayed without  zero  front   normal    display  country code Again Ahmed kept insisting   UPS delivery driver would know  country   calling etc etc  would call    got   flat I thought   fishy business  companies  particular  giving  correct address  phone numbers On  day  delivery I happened  look   window  saw  white van arrive The driver approached  block  I heard  doorbell  wasnt mine I went outside    UPS   printer     incorrect flat number   label I   opened  box  I saw  sticker saying    refurbished printer It stays unopened  HP  give   newfornew replacement I   contacted HP Customer Care via email Ahmed  I   received  reply Fishy business going   HP,I bought  HP Deskjet printer 3760  June 2022 still  warranty  recently  cartridge problems   HP agreed  replace  I   lengthy conversation  someone called Ahmed  HP Customer Care  insisted  inserting  incorrect flat number despite  insisting    wrong number My mobile number  also displayed without  zero  front   normal    display  country code Again Ahmed kept insisting   UPS delivery driver would know  country   calling etc etc  would call    got   flat I thought   fishy business  companies  particular  giving  correct address  phone numbers On  day  delivery I happened  look   window  saw  white van arrive The driver approached  block  I heard  doorbell  wasnt mine I went outside    UPS   printer     incorrect flat number   label I   opened  box  I saw  sticker saying    refurbished printer It stays unopened  HP  give   newfornew replacement I   contacted HP Customer Care via email Ahmed  I   received  reply Fishy business going   HP,bought hp deskjet printer 3760 june 2022 still warranty recently cartridge problems hp agreed replace lengthy conversation someone called ahmed hp customer care insisted inserting incorrect flat number despite insisting wrong number mobile number also displayed without zero front normal display country code ahmed kept insisting ups delivery driver would know country calling etc etc would call got flat thought fishy business companies particular giving correct address phone numbers day delivery happened look window saw white van arrive driver approached block heard doorbell mine went outside ups printer incorrect flat number label opened box saw sticker saying refurbished printer stays unopened hp give newfornew replacement contacted hp customer care via email ahmed received reply fishy business going hp
12,12,They stopped  printer function     subscribe   ink purchase After  representative previously told  I  free ink   life   printer repeatedly CREEPY YUK,They stopped  printer function     subscribe   ink purchase After  representative previously told  I  free ink   life   printer repeatedly CREEPY YUK,stopped printer function subscribe ink purchase representative previously told free ink life printer repeatedly creepy yuk
13,13,On Saturday 24th December 2022 Christmas Eve I purchased  HP Officejet Pro 9020e 4in1 Printer  eBay  382  eBay  I  print heaps  images  iron  shirts also I  use   personal  business use,On Saturday 24th December 2022 Christmas Eve I purchased  HP Officejet Pro 9020e 4in1 Printer  eBay  382  eBay  I  print heaps  images  iron  shirts also I  use   personal  business use,saturday 24th december 2022 christmas eve purchased hp officejet pro 9020e 4in1 printer ebay 382 ebay print heaps images iron shirts also use personal business use
14,14,I read  many   one star reviews  must take issue These folks go     line  terms  customer service assistance Not    techs  everything    assist   LaptopPC issues   follow   next day Who   Additionally   call  get someone immediately No 4 hour wait These folks  outstanding  every way,I read  many   one star reviews  must take issue These folks go     line  terms  customer service assistance Not    techs  everything    assist   LaptopPC issues   follow   next day Who   Additionally   call  get someone immediately No 4 hour wait These folks  outstanding  every way,read many one star reviews must take issue folks go line terms customer service assistance techs everything assist laptoppc issues follow next day additionally call get someone immediately 4 hour wait folks outstanding every way
15,15,It   sign   times   truly awful company  still  business Their printers  beyond awful Hard  find words   English language  describe  dysfunctional workings  hp printers They  set   entrap people  buying  using  ink They  set     complicated  possible The leadership   company    prison,It   sign   times   truly awful company  still  business Their printers  beyond awful Hard  find words   English language  describe  dysfunctional workings  hp printers They  set   entrap people  buying  using  ink They  set     complicated  possible The leadership   company    prison,sign times truly awful company still business printers beyond awful hard find words english language describe dysfunctional workings hp printers set entrap people buying using ink set complicated possible leadership company prison
16,16,They cant solve even  single issue I   trying  enroll   instant ink    month   cant fix   moreover  stopped responding cos  shift got  Hilarious,They cant solve even  single issue I   trying  enroll   instant ink    month   cant fix   moreover  stopped responding cos  shift got  Hilarious,solve even single issue trying enroll instant ink month fix moreover stopped responding cos shift got hilarious
17,17,UK Support Line In response  Mike Gees request   UK support number I  contacted UK tech support  02076606027 That  I believe  direct line Or   general line 02076602664 I   used   relation   printer  give   go I dont contact     printer    warranty Not paying money   bunch ,UK Support Line In response  Mike Gees request   UK support number I  contacted UK tech support  02076606027 That  I believe  direct line Or   general line 02076602664 I   used   relation   printer  give   go I dont contact     printer    warranty Not paying money   bunch ,uk support line response mike gees request uk support number contacted uk tech support 02076606027 believe direct line general line 02076602664 used relation printer give go contact printer warranty paying money bunch
18,18,Dead loss  per  reviewers HP   blatant rip  I clicked    realising   entailed Now Im locked  free ink  6 months  options  future ink supplies based  usage  I dont wantneed Im also forced   use genuine HP cartridges I dont mind   much     annoying   TOLD I must use  No way  removing HP either  activated always activated Their monthly deals   ink based  print based    want  cancel   time  ink cartridges stop working immediately regardless  amount  ink remaining Obviously  lessons learned   demise  Black Decker  Flymo etc   ignored Treat customers  contempt   simply go elsewhere I intend     Then I decided  give  one last chance  contacted HP Post Sales  would think    different company Problem solved   complete satisfaction within 24 hours give   try    unhappy  HP Im glad I ,Dead loss  per  reviewers HP   blatant rip  I clicked    realising   entailed Now Im locked  free ink  6 months  options  future ink supplies based  usage  I dont wantneed Im also forced   use genuine HP cartridges I dont mind   much     annoying   TOLD I must use  No way  removing HP either  activated always activated Their monthly deals   ink based  print based    want  cancel   time  ink cartridges stop working immediately regardless  amount  ink remaining Obviously  lessons learned   demise  Black Decker  Flymo etc   ignored Treat customers  contempt   simply go elsewhere I intend     Then I decided  give  one last chance  contacted HP Post Sales  would think    different company Problem solved   complete satisfaction within 24 hours give   try    unhappy  HP Im glad I ,dead loss per reviewers hp blatant rip clicked realising entailed locked free ink 6 months options future ink supplies based usage wantneed also forced use genuine hp cartridges mind much annoying told must use way removing hp either activated always activated monthly deals ink based print based want cancel time ink cartridges stop working immediately regardless amount ink remaining obviously lessons learned demise black decker flymo etc ignored treat customers contempt simply go elsewhere intend decided give one last chance contacted hp post sales would think different company problem solved complete satisfaction within 24 hours give try unhappy hp glad
19,19,Useless printer  need  HP app  get  work   app steals   data  forces    subscription First 6 months  free       pay    impossible  stop  subscriptionNext    connection keeps failing   printer  unreliable,Useless printer  need  HP app  get  work   app steals   data  forces    subscription First 6 months  free       pay    impossible  stop  subscriptionNext    connection keeps failing   printer  unreliable,useless printer need hp app get work app steals data forces subscription first 6 months free pay impossible stop subscriptionnext connection keeps failing printer unreliable
20,20,May 4 2023Awful experienceAwful experience Ordered  laptop worth £900   never arrived Spoke  customer services   end    cancel  order Now   wait   refund  I  told  take weeks Absolute disgraceful serviceDate  experience April 26 2023,May 4 2023Awful experienceAwful experience Ordered  laptop worth £900   never arrived Spoke  customer services   end    cancel  order Now   wait   refund  I  told  take weeks Absolute disgraceful serviceDate  experience April 26 2023,may 4 2023awful experienceawful experience ordered laptop worth 900 never arrived spoke customer services end cancel order wait refund told take weeks absolute disgraceful servicedate experience april 26 2023
